Industry,Deal_value,Weighted_amount,Date_of_creation,Pitch,Lead_revenue,Fund_category,Geography,Location,POC_name,Designation,Hiring_candidate_role,Lead_source,Level_of_meeting,Last_lead_update,Internal_POC,Resource,Internal_rating
Apparel Retail,131889.0,844089.6,2019-12-24,Product_2,100 - 500 Million,Category 4,USA,"Medford, OR",Tyler Vang MD,Executive Vice President,Automotive engineer,Contact Email,Level 2,More than 2 weeks,"Massiah,Gerard F",Deliverable,1
Banks,232892.0,1467219.6,2020-03-20,Product_1,500 Million - 1 Billion,Category 4,India,Thanjavur,richa,CEO/Co-Founder/Chairman,"Restaurant manager, fast food",Others,Level 2,Pending,"Clavey,Therese A",Cannot deliver,4
Software Consulting,369547.0,2328146.1,2020-01-26,Product_1,500 Million - 1 Billion,Category 3,USA,"Reading, PA",Jeanne Lawrence,CEO/Co-Founder/Chairman,Television/film/video producer,Contact Email,Level 1,Up-to-date,"Georgakopoulos,Vasilios T",We have all the requirements,5
Trucking,432812.0,2878199.8,2019-01-29,Product_2,500 Million - 1 Billion,Category 3,USA,"Brownsville-Harlingen, TX",Todd Cox,CEO/President,Jewellery designer,Contact Email,Level 3,more than a month,"Sutton,Michelle R",Not enough,4
Security Software,390300.0,2380830.0,2019-07-11,Product_2,500 Million - 1 Billion,Category 3,India,Mumbai,tara,CEO/Co-Founder/Chairman,Art therapist,Marketing Event,Level 2,2 days back,"Houston,Arnold E",No,1
Investment Bank/Brokerage,164792.0,1021710.4,2019-09-12,Product_1,100 - 500 Million,Category 1,India,Nandyal,shabnur,Chairman/Chief Innovation Officer,Education administrator,Contact Email,Level 1,More than a week back,"Dunaway,Antoine",Not enough,3
Financial Services,496474.0,2978844.0,2019-12-26,Product_1,100 - 500 Million,Category 3,India,Ahmadnagar,soni,Chief Executive Officer,Volunteer coordinator,Marketing Event,Level 2,Unknown,"Jones,Eyvette W",Not enough,1
Banks,179638.0,1257466.0,2020-09-13,Product_2,500 Million - 1 Billion,Category 4,USA,"Decatur, AL",Evan Gray,CEO/President,Barista,Website,Level 3,More than a week back,"Booker,David L",We have all the requirements,2
Furniture/Fixtures,48455.0,266502.5,2019-04-07,Product_1,500 Million - 1 Billion,Category 3,India,Gopalpur,sabnam,Executive Vice President,Careers information officer,Others,Level 1,No track,"Green,Ann E",No,3
Software,198363.0,1299277.65,2020-05-02,Product_2,500 Million - 1 Billion,Category 2,India,Delhi,rajni,CEO/President,Early years teacher,Marketing Event,Level 3,More than 2 weeks,"Anthony,Katherine D",Deliverable,3
Insurance,321803.0,1962998.3,2020-07-22,Product_1,500 Million - 1 Billion,Category 3,USA,"Kalamazoo-Portage, MI",Chad Higgins,SVP/General Counsel ,Training and development officer,Contact Email,Level 2,?,"Massiah,Gerard F",Deliverable,1
Insurance,356294.0,2173393.4,2019-05-19,Product_1,100 - 500 Million,Category 2,USA,"New Orleans-Metairie, LA",Donald Holland,Chairman/CEO/President,Armed forces training and education officer,Others,Level 2,More than 2 weeks,"Van Arter,Derrick",Yes,5
Restaurants,23688.0,140943.6,2019-08-09,Product_1,50 - 100 Million,Category 2,USA,"Hanford-Corcoran, CA",Margaret Martin,SVP/General Counsel ,"Teacher, primary school",Marketing Event,Level 2,2 days back,"Green,Candy",Deliverable,4
Retail,444242.0,2954209.3,2020-05-31,Product_1,50 - 100 Million,Category 1,USA,"Lexington-Fayette, KY",Vicki Rios,CEO,Educational psychologist,Marketing Event,Level 1,No track,"Hanyok,John J",Not enough,5
Social Services,136633.0,793272.8126509466,2019-03-16,Product_1,100 - 500 Million,Category 3,India,Shahbazpur,kushbu,CEO/Co-Founder/Chairman,Food technologist,Contact Email,Level 1,5 days back,"Heidelberg,Andre D",Yes,3
Banks,253420.0,1735927.0,2020-07-15,Product_1,500 Million - 1 Billion,Category 1,India,Tirupati,roshni balai,CEO,Animal nutritionist,Others,Level 3,5 days back,"Dunaway,Antoine",Yes,5
Financial Services,214962.0,1300520.1,2019-06-07,Product_1,50 - 100 Million,Category 1,India,Machilipatnam,nilam devi,SVP/General Counsel ,Ceramics designer,Contact Email,Level 2,More than 2 weeks,"Hanyok,John J",We have all the requirements,1
Chemical Manufacturing,456464.0,3081132.0,2019-06-01,Product_1,100 - 500 Million,Category 1,USA,"Houma-Thibodaux, LA",Robert Thompson,Executive Vice President,"Production assistant, radio",Website,Level 1,Pending,"Ullrich,Rose Anne",Deliverable,5
Investment Bank/Brokerage,159748.0,974462.8,2021-02-03,Product_1,500 Million - 1 Billion,Category 4,USA,"Peoria, IL",Sheila Martinez,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Leisure centre manager,Others,Level 1,?,"Davis,Sharrice A",We have all the requirements,1
Banks,89557.0,497041.35,2019-06-13,Product_2,50 - 100 Million,Category 2,India,Bamanpuri,renu parcha,Chairman/CEO/President,Quantity surveyor,Marketing Event,Level 1,More than a week back,"Thomas,Lori E",Yes,2
Financial Services,76915.0,530713.5,2020-05-01,Product_2,100 - 500 Million,Category 4,India,Kota,reenu,CEO,Environmental consultant,Website,Level 3,2 days back,"Clavey,Therese A",We have all the requirements,4
Furniture/Fixtures,34183.0,210225.45,2020-03-27,Product_2,100 - 500 Million,Category 1,India,Saharanpur,nekki,SVP/General Counsel ,Police officer,Website,Level 2,more than a month,"Dunaway,Antoine",No,1
Marketing/Advertising,87935.0,575974.25,2019-08-05,Product_1,100 - 500 Million,Category 1,India,Panipat,smt monika,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Educational psychologist,Others,Level 3,More than a week back,"Massiah,Gerard F",No,4
Legal,403568.0,2481943.2,2020-09-16,Product_1,100 - 500 Million,Category 3,India,Barddhaman,reena,Executive Vice President,Film/video editor,Contact Email,Level 3,Unknown,"Shelton,Sidney P",Yes,1
Retail,463081.0,2639561.7,2020-03-30,Product_1,100 - 500 Million,Category 2,India,Dibrugarh,kashish gupta @ hema gupta,Chairman/CEO/President,Set designer,Contact Email,Level 1,Pending,"Thomas,Lori E",Cannot deliver,3
Financial Services,449970.0,2789814.0,2020-03-01,Product_2,100 - 500 Million,Category 4,USA,"Chico, CA",Christopher Simmons,SVP/General Counsel ,"Nurse, learning disability",Others,Level 1,Pending,"Ross,Eric L",Deliverable,3
Software,275155.0,1829780.75,2020-02-26,Product_2,500 Million - 1 Billion,Category 1,India,Ghandinagar,anjana,CEO/President,Statistician,Website,Level 2,?,"Ali,Mohamed",Yes,4
Real Estate,148371.0,979248.6,2021-02-07,Product_1,50 - 100 Million,Category 1,India,Mathura,mamta,CEO/President,Press photographer,Website,Level 2,No track,"Ali,Mohamed",Cannot deliver,5
Entertainment/Media,87008.0,565552.0,2019-01-23,Product_2,500 Million - 1 Billion,Category 4,USA,"Las Cruces, NM",Devin Salazar,Chief Executive Officer,Meteorologist,Marketing Event,Level 1,Unknown,"Sutton,Michelle R",Cannot deliver,2
Banks,31349.0,182008.07567567515,2020-04-28,Product_2,100 - 500 Million,Category 1,USA,"Omaha-Council Bluffs, NE-IA",Daniel Hoffman,CEO,Armed forces logistics/support/administrative officer,Contact Email,Level 2,2 days back,"Dyson,William A",Yes,5
Banks,208606.0,1293357.2,2019-11-04,Product_2,100 - 500 Million,Category 3,USA,"Coeur d'Alene, ID",Leslie Wiley,Executive Vice President,Applications developer,Marketing Event,Level 2,Following up but lead not responding,"Gilley,Janine",Deliverable,1
Healthcare Facilities/Services,448596.0,2915874.0,2020-02-16,Product_1,500 Million - 1 Billion,Category 4,India,Raipur,gopi,CEO/Chairman/President,Chartered legal executive (England and Wales),Marketing Event,Level 2,Did not hear back after Level 1,"Knox,Antonio D",No,2
Healthcare Facilities/Services,122270.0,727506.5,2020-03-20,Product_2,50 - 100 Million,Category 2,USA,"Fort Collins, CO",Lauren Garcia,Chairman/CEO/President,"Production assistant, television",Marketing Event,Level 2,Pending,"Georgakopoulos,Vasilios T",Cannot deliver,1
"Oil, Gas, Coal",42030.0,268992.0,2020-05-06,Product_1,50 - 100 Million,Category 4,India,Guntur,smt swati mishra,CEO/Chairman/President,Control and instrumentation engineer,Contact Email,Level 3,More than a week back,"Rocks,Michael J",We have all the requirements,4
Banks,304861.0,1829166.0,2020-02-11,Product_2,50 - 100 Million,Category 3,India,Aligarh,parveen kaur @ simi,Chief Executive Officer,Community education officer,Website,Level 2,More than a week back,"Mabrey,Kevin C",No,4
Personal Services,486049.0,2964898.9,2021-02-08,Product_1,50 - 100 Million,Category 2,USA,"Shreveport-Bossier City, LA",Dale Sandoval,Chief Executive Officer,"Designer, exhibition/display",Contact Email,Level 3,?,"Houston,Arnold E",Not enough,1
eCommerce,19178.0,113150.2,2019-02-15,Product_2,500 Million - 1 Billion,Category 3,USA,"Little Rock-North Little Rock-Conway, AR",Joshua Jackson,Chief Executive Officer,Orthoptist,Others,Level 2,Unknown,"Turner,Marlon D",Deliverable,3
Banks,279615.0,1887401.25,2020-06-26,Product_2,100 - 500 Million,Category 1,USA,"Albany, GA",Ronald Rogers,CEO/Chairman/President,"Surveyor, hydrographic",Website,Level 2,Up-to-date,"Hebron,Artenia D",No,3
Financial Services,226917.0,1429577.1,2019-07-03,Product_2,500 Million - 1 Billion,Category 3,India,Mysore,kamla devi,Chairman/CEO/President,Site engineer,Contact Email,Level 2,Following up but lead not responding,"Ross,Eric L",No,5
Hospitals/Clinics,216035.0,1339417.0,2019-06-19,Product_1,50 - 100 Million,Category 3,India,Dispur,janki,Chairman/Chief Innovation Officer,Passenger transport manager,Marketing Event,Level 3,Up-to-date,"Gilley,Janine",Deliverable,1
Materials/Manufacturing,393591.0,2400905.1,2020-09-04,Product_2,50 - 100 Million,Category 2,India,Sirsa,rosina,CEO,Community development worker,Marketing Event,Level 3,more than a month,"Rocks,Michael J",Cannot deliver,2
Biotech/Healthcare,10384.0,71130.4,2019-10-17,Product_1,500 Million - 1 Billion,Category 1,USA,"Kalamazoo-Portage, MI",Dawn Allen,CEO/President,Petroleum engineer,Contact Email,Level 3,5 days back,"Green,Candy",Deliverable,3
Banks,499083.0,3293947.8,2020-12-02,Product_2,100 - 500 Million,Category 4,India,Haripur,bhawna @ noni,Chief Executive Officer,"Surveyor, quantity",Marketing Event,Level 2,No track,"Sutton,Michelle R",Deliverable,4
Investment Bank/Brokerage,457481.0,2950752.45,2021-01-31,Product_1,500 Million - 1 Billion,Category 1,India,Faridabad,kiran meena,Chairman/CEO/President,"Horticulturist, commercial",Others,Level 3,2 days back,"Ullrich,Rose Anne",We have all the requirements,1
Other,316609.0,1931314.9,2020-07-06,Product_1,100 - 500 Million,Category 2,USA,"Glens Falls, NY",Jacob Campbell,Chairman/CEO/President,Translator,Marketing Event,Level 1,2 days back,"Pappas,Mark S",Yes,3
Online Banking,229373.0,1295957.45,2019-10-22,Product_2,100 - 500 Million,Category 2,India,Budaun,pinki,Chairman/CEO/President,Chief of Staff,Website,Level 1,?,"Irizarry,Yolanda",No,1
Software,161938.0,971628.0,2020-09-03,Product_1,500 Million - 1 Billion,Category 2,USA,"Dover, DE",Jessica Estes,CEO/Chairman/President,Air traffic controller,Contact Email,Level 1,No track,"Salyers,Daniel L",Not enough,3
Software,342517.0,2226360.5,2019-04-07,Product_1,500 Million - 1 Billion,Category 1,USA,"Greensboro-High Point, NC",Cynthia Smith,CEO,Probation officer,Contact Email,Level 2,More than a week back,"Jones,Eyvette W",Deliverable,2
Semiconductors,332768.0,1946692.8,2020-11-20,Product_1,50 - 100 Million,Category 1,India,Gulbarga,smt pooja,Chairman/CEO/President,"Editor, magazine features",Contact Email,Level 1,2 days back,"Dunaway,Antoine",Yes,1
"Oil, Gas, Coal",383756.0,2228035.6977573256,2021-01-05,Product_1,50 - 100 Million,Category 1,USA,"York-Hanover, PA",Mark Baker,CEO/Co-Founder/Chairman,"Administrator, charities/voluntary organisations",Contact Email,Level 2,Pending,"Green,Candy",Yes,4
Banks,455729.0,3212889.45,2019-10-16,Product_1,500 Million - 1 Billion,Category 1,India,Mumbai,kumkum,Executive Vice President,Leisure centre manager,Marketing Event,Level 3,more than a month,"Robinson,John C",Deliverable,3
MSPs (Mgmt),66496.0,442198.4,2020-03-06,Product_1,100 - 500 Million,Category 4,USA,"Mansfield, OH",Kim Henderson DDS,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Colour technologist,Others,Level 3,More than a week back,"Van Arter,Derrick",Deliverable,4
Other,110124.0,726818.4,2021-01-20,Product_2,50 - 100 Million,Category 4,USA,"Greensboro-High Point, NC",Janice Cruz,CEO,"Teacher, music",Contact Email,Level 3,More than a week back,"Thomas,Lori E",Cannot deliver,1
Hospitals/Clinics,262477.0,1811091.3,2021-02-13,Product_1,500 Million - 1 Billion,Category 2,USA,"New York-Newark-Jersey City, NY-NJ-PA",Karen Hubbard,Chairman/CEO/President,Manufacturing engineer,Website,Level 3,Did not hear back after Level 1,"Robinson,John C",Deliverable,5
Multimedia Software,148915.0,990284.75,2019-01-09,Product_1,50 - 100 Million,Category 2,USA,"Hattiesburg, MS",Lindsey Smith,CEO/Co-Founder/Chairman,"Teacher, music",Website,Level 3,5 days back,"Massiah,Gerard F",Yes,5
Industrial Equip,359158.0,2334527.0,2020-12-02,Product_1,500 Million - 1 Billion,Category 3,USA,"Walla Walla, WA",Kevin Gallegos,Chairman/Chief Innovation Officer,Geophysicist/field seismologist,Marketing Event,Level 1,?,"Murray,Younetta",Cannot deliver,5
Banks,411230.0,2590749.0,2020-07-14,Product_2,500 Million - 1 Billion,Category 1,USA,"Texarkana, TX-AR",James Reyes,SVP/General Counsel ,"Research officer, trade union",Contact Email,Level 1,Following up but lead not responding,"Himes,Maurice C",No,2
REIT,185384.0,1084496.4,2020-03-26,Product_1,100 - 500 Million,Category 2,India,Chennai,belo d/o,Chairman/CEO/President,"Teacher, music",Others,Level 3,2 days back,"Ullrich,Rose Anne",We have all the requirements,2
Apparel Products,307997.0,1724783.2,2020-09-30,Product_2,100 - 500 Million,Category 3,USA,"New Haven-Milford, CT",Thomas Ramos,CEO/Chairman/President,Race relations officer,Others,Level 1,more than a month,"Green,Candy",We have all the requirements,2
REIT,321725.0,2075126.25,2020-08-19,Product_1,100 - 500 Million,Category 2,USA,"Oklahoma City, OK",Kaitlin Wilson,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Newspaper journalist,Website,Level 2,Unknown,"Gould,Lisa D",No,5
Banks,138523.0,810359.55,2020-07-11,Product_1,100 - 500 Million,Category 2,India,Saidpur,momina,Chairman/CEO/President,Volunteer coordinator,Others,Level 3,More than 2 weeks,"Robinson,John C",Deliverable,2
Industrial Equip,282504.0,1836276.0,2020-10-08,Product_1,500 Million - 1 Billion,Category 2,USA,"Jackson, MS",Joshua Morgan,CEO/President,"Administrator, sports",Website,Level 3,No track,"Vickers Jr.,Henry J",Deliverable,2
Banks,56643.0,348354.45,2019-01-25,Product_2,50 - 100 Million,Category 1,USA,"Barnstable Town, MA",Glen Berry,Chief Executive Officer,Academic librarian,Others,Level 2,More than 2 weeks,"Ullrich,Rose Anne",We have all the requirements,3
Construction Services,80524.0,454960.6,2019-02-12,Product_1,100 - 500 Million,Category 2,India,Bhilwara,priyanka,Chairman/CEO/President,Outdoor activities/education manager,Website,Level 1,Did not hear back after Level 1,"Cash,Tyrone J",Cannot deliver,1
Real Estate,242599.0,1443464.05,2020-03-14,Product_2,50 - 100 Million,Category 2,USA,"Manchester-Nashua, NH",Kari Jenkins,CEO/Chairman/President,"Surveyor, hydrographic",Contact Email,Level 2,No track,"Logan,Kevin N",Deliverable,3
Hospitals/Clinics,155717.0,965445.4,2020-02-10,Product_1,100 - 500 Million,Category 4,India,Bhilai,poonam,CEO,Management consultant,Contact Email,Level 2,?,"Smith,Keenan H",Cannot deliver,2
Insurance,376825.0,2187795.244393323,2020-02-04,Product_1,50 - 100 Million,Category 2,USA,"Fort Smith, AR-OK",Deanna Hayes,Chief Executive Officer,Dealer,Marketing Event,Level 3,2 days back,"Dyson,William A",Deliverable,3
Aerospace/Defense,446907.0,3061312.95,2021-01-12,Product_1,500 Million - 1 Billion,Category 4,India,Jabalpur,sanju,CEO/Co-Founder/Chairman,"Scientist, product/process development",Marketing Event,Level 3,?,"Green,Ann E",Cannot deliver,2
Online Banking,312891.0,1816603.0433582468,2020-07-26,Product_2,500 Million - 1 Billion,Category 2,USA,"Grants Pass, OR",Brandi Hart,Chief Executive Officer,Database administrator,Website,Level 3,Pending,"McKenstry,Loretta A",Not enough,5
Banks,52114.0,330923.9,2020-11-06,Product_1,100 - 500 Million,Category 2,India,Asansol,bina jatav,Chairman/Chief Innovation Officer,Musician,Marketing Event,Level 3,more than a month,"Irizarry,Yolanda",We have all the requirements,3
Networking/Comm.,44426.0,266556.0,2019-04-22,Product_1,100 - 500 Million,Category 4,India,Mysore,veermati,Chairman/Chief Innovation Officer,Colour technologist,Marketing Event,Level 1,Unknown,"Booker,David L",Yes,2
Online Banking,236232.0,1476450.0,2020-02-03,Product_1,500 Million - 1 Billion,Category 3,India,Moradabad,smt. madina,CEO,TEFL teacher,Website,Level 2,more than a month,"Logan,Kevin N",Deliverable,4
Banks,157047.0,989396.1,2019-01-25,Product_2,500 Million - 1 Billion,Category 3,USA,"Bloomington, IN",Samantha Bartlett,CEO/Chairman/President,Youth worker,Marketing Event,Level 1,Pending,"Morsy,Omar A",No,3
Hotels/Motels,258011.0,1715773.15,2019-06-21,Product_2,500 Million - 1 Billion,Category 4,USA,"Weirton-Steubenville, WV-OH",Russell Taylor,CEO/President,"Scientist, research (medical)",Website,Level 1,No track,"Dimattia,Frank D",Deliverable,3
"Oil, Gas, Coal",21138.0,132112.5,2020-05-26,Product_1,100 - 500 Million,Category 2,USA,"Panama City, FL",Virginia Robinson,Chief Executive Officer,Higher education careers adviser,Others,Level 3,?,"Hameier,Kurt E",Not enough,5
Banks,241329.0,1544505.6,2019-01-22,Product_1,50 - 100 Million,Category 1,India,Bulandshahr,sayna parveen,Chief Executive Officer,"Engineer, land",Contact Email,Level 3,More than a week back,"Moran,Natalie A",Not enough,1
Associations,228957.0,1579803.3,2019-10-30,Product_2,100 - 500 Million,Category 4,India,Chennai,chanchal @ mamta,Chief Executive Officer,Gaffer,Website,Level 3,more than a month,"Green,Ann E",Deliverable,3
Other Biz Services,274362.0,1879379.7,2020-02-22,Product_1,500 Million - 1 Billion,Category 1,USA,"Bloomington, IL",Richard Schneider,Chief Executive Officer,"Programmer, applications",Contact Email,Level 3,more than a month,"Jones,Eyvette W",Yes,2
REIT,283151.0,1755536.2,2019-06-02,Product_1,100 - 500 Million,Category 1,USA,"Kankakee, IL",Bradley Phillips,Executive Vice President,Dispensing optician,Others,Level 1,Unknown,"Meli,Teresa V",Yes,4
Investment Bank/Brokerage,405446.0,2432676.0,2019-06-29,Product_1,100 - 500 Million,Category 4,India,Gopalpur,pushpa rani,Chairman/Chief Innovation Officer,"Engineer, drilling",Others,Level 2,No track,"Cashin,Marc C",Not enough,2
Hotels/Motels,210086.0,1239507.4,2019-09-15,Product_1,500 Million - 1 Billion,Category 3,USA,"San Angelo, TX",Tina Wiggins,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Geophysicist/field seismologist,Others,Level 2,More than a week back,"Meli,Teresa V",Not enough,1
Aerospace/Defense,41137.0,236537.75,2020-01-22,Product_2,50 - 100 Million,Category 2,India,Adilabad,nidhi with mother rekha,CEO/President,Publishing copy,Contact Email,Level 2,2 days back,"Murray,Younetta",No,5
Banks,204214.0,1358023.1,2019-06-20,Product_1,500 Million - 1 Billion,Category 1,India,Karimnagar,madhu,Chairman/Chief Innovation Officer,Veterinary surgeon,Contact Email,Level 3,?,"Featherstone,Adrian R",Yes,1
Banks,353064.0,2365528.8,2020-06-09,Product_2,500 Million - 1 Billion,Category 1,USA,"Chico, CA",Luke Russell,SVP/General Counsel ,Interior and spatial designer,Marketing Event,Level 1,Pending,"Murray,Younetta",We have all the requirements,4
Other Consulting,141538.0,884612.5,2019-01-19,Product_2,100 - 500 Million,Category 2,USA,"Evansville, IN-KY",Brittney Wilkins,Chairman/CEO/President,Diplomatic Services operational officer,Website,Level 1,5 days back,"Moran,Natalie A",We have all the requirements,5
Banks,6737.0,39074.6,2019-04-27,Product_2,100 - 500 Million,Category 3,India,Bareilly,alam aara,CEO,Web designer,Contact Email,Level 2,more than a month,"Davis,Brian R",Not enough,4
Financial Services,281191.0,1743384.2,2019-09-19,Product_1,100 - 500 Million,Category 1,India,Bikaner,isika,CEO,"Nurse, children's",Others,Level 1,Following up but lead not responding,"Ryker,David",We have all the requirements,5
Software,113416.0,788241.2,2019-10-18,Product_2,100 - 500 Million,Category 4,USA,"Elmira, NY",Kenneth Miller,CEO,Naval architect,Contact Email,Level 3,?,"Irizarry,Yolanda",Not enough,3
Investment Bank/Brokerage,227877.0,1367262.0,2019-10-18,Product_1,100 - 500 Million,Category 4,India,Malegaon Camp,neelam,Chairman/Chief Innovation Officer,Building surveyor,Others,Level 2,More than a week back,"Clavey,Therese A",Deliverable,1
Banks,101902.0,672553.2,2019-01-14,Product_2,50 - 100 Million,Category 1,India,Mangalore,rekha,CEO/Chairman/President,Photographer,Marketing Event,Level 3,5 days back,"Leu,Darren L",Yes,2
Medical Equipment,368134.0,2116770.5,2020-02-03,Product_2,50 - 100 Million,Category 2,USA,"Durham-Chapel Hill, NC",Jason Alexander,CEO/Chairman/President,Associate Professor,Contact Email,Level 1,?,"Green,Ann E",Deliverable,3
REIT,281561.0,1675287.95,2019-11-02,Product_2,50 - 100 Million,Category 2,USA,"Rapid City, SD",Frank Williams,CEO/Chairman/President,Aid worker,Marketing Event,Level 2,More than 2 weeks,"Robinson,John C",Cannot deliver,1
Telecom Services/Telephone Companies,473907.0,2701269.9,2019-04-05,Product_2,100 - 500 Million,Category 2,USA,"Bellingham, WA",Daniel Soto,CEO/President,Office manager,Contact Email,Level 1,5 days back,"Meli,Teresa V",Not enough,2
Banks,394965.0,2508027.75,2019-10-12,Product_1,100 - 500 Million,Category 4,India,Gulbarga,deepa rani,CEO,Broadcast journalist,Others,Level 3,Did not hear back after Level 1,"Featherstone,Adrian R",Cannot deliver,2
Service Providers,209284.0,1423131.2,2019-02-28,Product_1,50 - 100 Million,Category 4,India,Patna,kusum,Chairman/CEO/President,Marketing executive,Marketing Event,Level 3,Did not hear back after Level 1,"Davis,Sharrice A",Not enough,4
Non-Profit,85227.0,485793.9,2020-03-25,Product_1,50 - 100 Million,Category 2,India,Shillong ,neetu,Chairman/CEO/President,Orthoptist,Others,Level 3,2 days back,"Morsy,Omar A",We have all the requirements,2
Banks,232005.0,1345629.0,2019-01-29,Product_1,100 - 500 Million,Category 3,USA,"Lake Havasu City-Kingman, AZ",Samuel Larson,SVP/General Counsel ,"Programmer, multimedia",Contact Email,Level 1,?,"Van Arter,Derrick",Cannot deliver,1
Insurance,464187.0,2877959.4,2019-10-04,Product_2,100 - 500 Million,Category 1,India,Proddatur,kehkasa,CEO/Co-Founder/Chairman,Dramatherapist,Others,Level 1,Did not hear back after Level 1,"Dimattia,Frank D",No,5
Real Estate,37779.0,204006.6,2019-10-15,Product_1,500 Million - 1 Billion,Category 2,India,Bidar,neha chopra,SVP/General Counsel ,Insurance account manager,Others,Level 2,2 days back,"Morsy,Omar A",Deliverable,1
Insurance,368595.0,2359008.0,2021-01-12,Product_1,500 Million - 1 Billion,Category 3,India,Mathura,veena w/o sanjay,CEO/Chairman/President,Politician's assistant,Website,Level 3,Up-to-date,"Murray,Younetta",Cannot deliver,2
Electronics,305931.0,1988551.5,2021-02-14,Product_2,500 Million - 1 Billion,Category 1,USA,"Pueblo, CO",Ruth Gallagher,Executive Vice President,Meteorologist,Contact Email,Level 2,2 days back,"Sutton,Michelle R",We have all the requirements,2
Banks,216850.0,1344470.0,2020-09-04,Product_1,100 - 500 Million,Category 4,USA,"Little Rock-North Little Rock-Conway, AR",Julie Chavez,Chairman/Chief Innovation Officer,Town planner,Contact Email,Level 1,More than 2 weeks,"Jones,Eyvette W",Not enough,2
B2B eCommerce,22157.0,142912.65,2019-06-27,Product_2,50 - 100 Million,Category 4,USA,"Dover, DE",Benjamin Summers,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Hydrologist,Contact Email,Level 2,5 days back,"Heidelberg,Andre D",No,5
Materials/Manufacturing,256115.0,1651941.75,2020-10-31,Product_1,100 - 500 Million,Category 2,USA,"Kingsport-Bristol-Bristol, TN-VA",Audrey Moore,Executive Vice President,"Engineer, maintenance",Marketing Event,Level 3,Pending,"Featherstone,Adrian R",Not enough,1
Other Investment Firms,388387.0,2213805.9,2019-12-23,Product_1,500 Million - 1 Billion,Category 3,India,Jabalpur,merry kerakeha,Chief Executive Officer,Data processing manager,Others,Level 1,More than a week back,"Ali,Mohamed",Not enough,3
Lending/Mortgage,422194.0,2300957.3,2019-05-26,Product_1,50 - 100 Million,Category 3,India,Imphal,deepa,CEO/Co-Founder/Chairman,Retail manager,Contact Email,Level 1,Up-to-date,"Abdul-Hamid,Saud Muhamad",Cannot deliver,2
Hotels/Motels,166117.0,1013313.7,2020-01-12,Product_2,500 Million - 1 Billion,Category 3,India,Port Blair,anjali @ ragini,CEO/Chairman/President,Veterinary surgeon,Contact Email,Level 2,Did not hear back after Level 1,"Smith,Keenan H",Not enough,4
Insurance,378746.0,2158852.2,2019-11-06,Product_2,500 Million - 1 Billion,Category 3,USA,"Duluth, MN-WI",Antonio Reed,SVP/General Counsel ,"Scientist, biomedical",Others,Level 1,Pending,"Brown,Maxine A",We have all the requirements,1
Medical Equipment,90937.0,568356.25,2019-08-20,Product_1,100 - 500 Million,Category 2,USA,"Portland-Vancouver-Hillsboro, OR-WA",Mary Little,Chief Executive Officer,Adult guidance worker,Others,Level 3,?,"Thomas,Lori E",Yes,3
Advertising/PR,353006.0,1959183.3,2019-11-24,Product_2,50 - 100 Million,Category 2,USA,"Urban Honolulu, HI",Christopher Lee II,Executive Vice President,Hydrogeologist,Others,Level 2,Following up but lead not responding,"Carter Sr,Clifton E",Deliverable,1
Insurance,393697.0,2285751.8060954507,2020-10-06,Product_1,50 - 100 Million,Category 1,India,Kavaratti,pooja,Chairman/Chief Innovation Officer,Health and safety inspector,Website,Level 3,Following up but lead not responding,"Turner,Marlon D",Cannot deliver,2
Concrete/Cement,250979.0,1643912.45,2020-02-28,Product_2,100 - 500 Million,Category 1,USA,"Waco, TX",Colton Moore,Chairman/CEO/President,Clinical molecular geneticist,Website,Level 2,Following up but lead not responding,"Maine,John P",Yes,2
Apparel Retail,157286.0,983037.5,2020-08-04,Product_1,100 - 500 Million,Category 2,India,Alwar,kusum,Chairman/Chief Innovation Officer,Colour technologist,Marketing Event,Level 3,Up-to-date,"Mabrey,Kevin C",We have all the requirements,2
Construction Services,312958.0,2128114.4,2019-07-30,Product_1,50 - 100 Million,Category 1,USA,"Alexandria, LA",Jenna Brown,Chairman/CEO/President,Television/film/video producer,Website,Level 2,Did not hear back after Level 1,"Morsy,Omar A",We have all the requirements,5
Office Supplies,51515.0,327120.25,2019-04-27,Product_2,500 Million - 1 Billion,Category 3,India,Jorapokhar,"raju, sahi ram, khusbu",CEO/Co-Founder/Chairman,Public house manager,Marketing Event,Level 3,More than a week back,"Gould,Lisa D",Not enough,1
Staffing,378335.0,2118676.0,2020-02-28,Product_1,100 - 500 Million,Category 3,India,Ranchi,anjali,CEO,Chief Marketing Officer,Contact Email,Level 1,More than 2 weeks,"Ali,Mohamed",Yes,1
Insurance,289957.0,1725244.15,2019-09-28,Product_2,50 - 100 Million,Category 2,India,Chikka Mandya,anshika,Chairman/CEO/President,"Education officer, community",Marketing Event,Level 2,No track,"McKenstry,Loretta A",Deliverable,4
